,source,theme,title
0,Forbes Japan,1,「美味しい」は社会を変える力になる｜レフェルヴェソンス 生江史伸
1,朝日新聞デジタル,1,心のケア、相談が必要なケースとは　厚労省、ＨＰで紹介
2,PRESIDENT Online：「仕事人×生活人」のための問題解決塾,1,"28歳女性役員が""年下社員""に使った作戦 - 社員の7割は、挨拶すら無視した"
3,PRESIDENT Online：「仕事人×生活人」のための問題解決塾,1,年収300万円でも「リッチ」な人の考え方 - ヒントは「行動経済学」にあった
4,PRESIDENT Online：「仕事人×生活人」のための問題解決塾,1,"早大セクハラ「退職金返還拒否」の妥当性 - ""非難を受け、本人も反省している"""
5,ハフポスト日本版,1,アルツハイマー病になった人が、周りに知って欲しい5つのこと
6,NewSphere,1,ラジオ、ゲームセンターからスマホまで　親を心配させてきた“新しい娯楽”たち
7,The Coca-Cola Company,1,コカ･コーラ社社員が語る「空の上の幸福論」
8,ライフハッカー［日本版］,1,朝のルーティンがうまくいかない理由とその解決方法
9,ハフポスト日本版,1,35歳のサラリーマンが、夢のプロ棋士になった。愛と憎しみが生んだ「将棋界の奇跡」
10,ハフポスト日本版,1,「優雅な読書が最高の復讐である」。山崎まどかさんが実践する、本との向き合いかた
11,マッシュメディア,1,自宅がスタジオに! フィットネスクラスを受講できるスマートミラー「Mirror」が斬新
12,福井新聞オンライン,1,ノーベル文学賞を受賞した…
13,GLOBIS 知見録 最新記事,1,組織の成長に必要なのはリーダーが部下の変化を促すこと
14,GLOBIS 知見録 最新記事,1,人を育てることができる人を育てるために――メルカリの挑戦
15,JBpress(日本ビジネスプレス) JBpress 最新記事,1,作られた記憶、作られた体験がもたらす未来　記憶とは自分を自分たらしめる重大な構成要素だ
16,Career Supli（キャリアサプリ）｜あしたのシゴトが面白くなるウェブマガジン,1,退屈と決別しよう！人生がつまらない人のための方法！！
17,現代ビジネス[講談社] | 最新記事,1,どうしたら殺さずに済むか…サイコパスを自覚する男の「孤独と葛藤」
18,BLOGOS - 最新記事,1,一人でも国政を動かせることを証明したアントニオ猪木 - 天木直人
19,Forbes Japan,1,大切な人を亡くした悲しみ　その複雑な克服プロセスとは？
20,BLOGOS - 最新記事,1,今こそ見直そう！ スポーツボランティアの意味を - The BORDERLESS
21,朝日新聞デジタル,1,お産の「影」の中に描いた光　ＮＨＫ「予想以上の反響」
22,ライフハッカー［日本版］,1,特定のスキルを習得するためのアドバイス
23,朝日新聞デジタル,1,留学生の就職、門戸拡大へ　アニメ関連の職種追加も検討
24,BLOGOS - 最新記事,1,「週末に温泉でゆっくり」はむしろ疲れる - PRESIDENT Online
25,PRESIDENT Online：「仕事人×生活人」のための問題解決塾,1,"""丸腰""で他人に投資の相談をする人の末路 - 銀行も怖いが、親はもっと怖い"
26,PRESIDENT Online：「仕事人×生活人」のための問題解決塾,1,貯金が増えないなら、小遣いを2万増やせ - 家計は固定費を見直すことで改善
27,Social Game Info,1,スクエニ、『刀使ノ巫女 刻みし一閃の燈火』で「此花寿々花」誕生日を記念し「虹珠鋼×100個」をプレゼント　限定ボイスやトークも
28,ライフハッカー［日本版］,1,幸福度が上がる。今日から始められる7つの習慣
29,ハフポスト日本版,1,小島慶子さんが“イクメンクソ野郎”を描いた理由「イクメンがいいやつだと思うなよ」
30,Forbes Japan,1,費用対効果が低すぎる、現在の英会話教育
